Судлагдахууны нэр,Ангийн нэр,Нэгжийн нэр,№,Ээлжит хичээл,Ээлжит хичээлийн зорилго
Математик,6-р анги,"Өгөгдөл цуглуулах, дүрслэх",L149,Өгөгдлийг дүрслэх хэлбэрүүд,"Өдөр тутамд тохиолддог, сонирхолтой, хэрэгцээтэй асуудлын талаар тоон мэдээлэл цуглуулж, цуглуулсан мэдээллээ нэгтгэн, хүмүүст ойлгомжтой байдлаар график диаграммаар дүрсэлж (тохиромжтой хэлбэрийг сонгон) дүгнэлт гаргах, тайлбарлах "
Математик,6-р анги,"Өгөгдөл цуглуулах, дүрслэх",L150,"ҮНЭЛГЭЭ-Өгөгдөл цуглуулах, дүрслэх","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,"Дунджууд ба далайц, баганан диаграммуудыг харьцуулан дүгнэлт гаргах",L151,Дунджууд ба далайц,"Бодит туршилт хийж мэдээлэл цуглуулсан, эсвэл бэлэн цуглуулсан өгөгдлийн  дунджууд болон далайцыг  олж дүгнэлт гаргаж, дунджууд нь дүгнэлт хийхэд ямар үүрэг, ач холбогдолтой болохыг ойлгох,  түүврийг эрэмбэлэх аргаар моод, медианыг, давтамжийн хүснэгт ашиглан арифметик дунджийг  хялбараар олох, өгөгдлийг бүлэглэх,  бүлэглэхийн ач холбогдлыг ойлгох"
Математик,6-р анги,"Дунджууд ба далайц, баганан диаграммуудыг харьцуулан дүгнэлт гаргах",L152,"График, диаграмм, хүснэгтээс дунджууд, далайцыг олох","Хүснэгт, график, диаграммаар өгөгдсөн бодит мэдээллийг уншиж ойлгох, дунджууд болон далайц олох, тайлбарлах"
Математик,6-р анги,"Дунджууд ба далайц, баганан диаграммуудыг харьцуулан дүгнэлт гаргах",L153,Бодлого дасгал (дунджууд ба далайж),"Ахуй амьдрал болон нийгмийн асуудлуудтай холбоотой хүснэгт, график, диаграммаар өгөгдсөн бодит мэдээллээс дунджууд болон далайцыг олж түүн дээр үндэслэн дүгнэлт хийх, тайлбарлах, өөр хэлбэрээр дүрслэх"
Математик,6-р анги,"Дунджууд ба далайц, баганан диаграммуудыг харьцуулан дүгнэлт гаргах",L154,"Өгөгдлүүдийг харьцуулах, дүгнэлт гаргах","Цуглуулсан өгөгдлүүдийн моод, медиан, арифметик дундаж, далайцыг олж харьцуулсан дүгнэлт гаргах, тайлбарлах"
Математик,6-р анги,"Дунджууд ба далайц, баганан диаграммуудыг харьцуулан дүгнэлт гаргах",L155,"Бодлого дасгал (график, диаграммаар өгөгдсөн мэдээллүүдийг харьцуулах)","Баганан диаграммаар өгөгдсөн нэг төрлийн мэдээллүүдийг моод, медиан, арифметик дундаж, далайцыг олж харьцуулсан дүгнэлт гаргах, тайлбарлах"
Математик,6-р анги,"Дунджууд ба далайц, баганан диаграммуудыг харьцуулан дүгнэлт гаргах",L156,"ҮНЭЛГЭЭ-Дунджууд ба далайц, баганан диаграммуудыг харьцуулан дүгнэлт гаргах","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,"Тэнцүү боломжтой үзэгдлийн магадлал, магадлалын хэл",L157,Үзэгдэл ба эгэл үзэгдэл,"Ахуй амьдрал дахь энгийн, сонирхолтой туршилт хийж илэрч болох үр дүнгүүдийг тоочих, жагсаан бичих замаар туршилт, туршилтын үр дүн, эгэл үзэгдэл, үзэгдэл, боломж, боломжийн  тоо гэсэн ойлголттой танилцаж, аливаа үзэгдлийн илэрч болох боломж нь туршилтын үр дүн болохыг ойлгох, боломж тоолох хялбар бодлого бодох, асуудал шийдвэрлэх"
Математик,6-р анги,"Тэнцүү боломжтой үзэгдлийн магадлал, магадлалын хэл",L158,Үржвэр ба нийлбэрийн зарчим,"Боломж тоолох төрөл бүрийн бодлого бодох явцдаа тоолох ерөнхий зарчмыг илрүүлж, нийлбэрийн ба үржвэрийн дүрмийг томьёолох, ойлгох, дүрмүүдийг хэрэглэж хялбар асуудал шийдвэрлэх"
Математик,6-р анги,"Тэнцүү боломжтой үзэгдлийн магадлал, магадлалын хэл",L159,Бодлого дасгал (Үржвэр ба нийлбэрийн зарчим),"Нийлбэрийн ба үржвэрийн дүрмийг оновчтой хэрэглэж төрөл бүрийн сонирхолтой бодлого бодох, асуудал шийдвэрлэх"
Математик,6-р анги,"Тэнцүү боломжтой үзэгдлийн магадлал, магадлалын хэл",L160,Үзэгдлийн магадлал,"Өдөр тутамд тохиолддог үзэгдлүүдийн илрэх магадлалыг харьцуулан ярилцаж үзэгдлүүдийн илрэх магадлал нь харилцан адилгүй байдгийг ойлгох, боломжгүй, боломж багатай, боломж ихтэй, гарцаагүй гэх мэт хэллэгүүдийн утгыг ойлгох, энгийн туршилтын үр дүнг урьдчилан таамаглах, туршилтын үр дүнг бүртгэн таамаглал хэр бодитой байсан эсэхийг дүгнэн ярилцах замаар үзэгдлийн магадлалыг тооцоолохдоо тухайн үзэгдлийг туршилтын ямар нэг үр дүн гэж сэтгээд математик загварт оруулан илрэх магадлалыг тооцоолдгийг ойлгох, яагаад магадлал тооцох хэрэгтэй вэ? гэдийг эргэцүүлэн бодож дүгнэлт гаргах"
Математик,6-р анги,"Тэнцүү боломжтой үзэгдлийн магадлал, магадлалын хэл",L161,Магадлалын тоон утга,"Тэнцүү боломжтой үр дүн  бүхий хялбар  туршилтын хувьд сонирхож байгаа үзэгдэл (ивээгч үзэгдэл)-ийн тоо нь туршилтаар илэрч болох бүх эгэл үзэгдлийн тооны ямар хэсэг болохыг олж үзэгдлийн магадлалын тоон утгыг тооцоолох, магадлалын тоон утга 0-оос 1-ийн хооронд байдгийг ойлгох,  тоон шулуун дээр дүрслэн харуулах,  магадлалыг тооцоолох хялбар бодлого бодох"
Математик,6-р анги,"Тэнцүү боломжтой үзэгдлийн магадлал, магадлалын хэл",L162,Тэнцүү биш боломжтой үр дүн бүхий туршилт,"Тэнцүү биш боломжтой үр дүн бүхий туршилт (үзэгдэл)-ын хувьд магадлалын тоон утгыг шууд тооцоолоход хүндрэлтэй байдгийг туршилт хийх (Жишээ нь шагай орхих) замаар ойлгох, тэнцүү боломжтой үр дүн бүхий үзэгдлийн хувьд ч тэнцүү биш боломжтой болоход маш амархан байдгийг жишээ туршилт хийж ойлгох, амьдрал дахь сонирхолтой жишээ, тохиолдлуудын учир шалтгааныг илрүүлэн, үр дагаврыг дүгнэн ярилцаж магадлал тооцохын ач холбогдлыг ойлгох"
Математик,6-р анги,"Тэнцүү боломжтой үзэгдлийн магадлал, магадлалын хэл",L163,Магадлалын хэл,"Магадлал тооцоолох хялбар бодлогуудыг бодохдоо математик хэллэг, бичиглэл ашиглан магадлалыг бичиж тэмдэглэх, уншиж ойлгох, ярих, тоон шулуун дээр магадлалын тоон утгыг тэмдэглэж гарцаагүй, боломж ихтэй, тэнцүү боломжтой, боломж багатай, боломжгүй үзэгдлийг ялган таних, математик хэлээр алдаагүй зөв харилцаж сурах, магадлал олох аргад суралцах"
Математик,6-р анги,"Тэнцүү боломжтой үзэгдлийн магадлал, магадлалын хэл",L164,Бодлого дасгал (Магадлал),"Амьдрал ахуйн болон математикийн төрөл бүрийн сонирхолтой асуудал шийдэх бодлого, дасгал ажиллах явцдаа ивээгч үзэгдлийн тоог үржвэрийн болон нийлбэрийн дүрэм ашиглан тооцоолох, магадлалыг  хялбар аргаар олох, магадлал ашиглан асуудал шийдвэрлэх аргад суралцах, ач холбогдлыг ойлгох"
Математик,6-р анги,"Тэнцүү боломжтой үзэгдлийн магадлал, магадлалын хэл",L165,"ҮНЭЛГЭЭ-Тэнцүү боломжтой үзэгдлийн магадлал, магадлалын хэл","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
,Нэгж,22,,Ээлжит,165
